"date","currency","rate"
"2018-05-25",602,"61.5518"
"2018-05-25",604,"0.9897"
"2018-05-25",605,"109.5327"
"2018-05-25",606,"0.7459"
"2018-05-25",608,"7.8481"
"2018-05-26",600,"1"
"2018-05-26",601,"0.8565"
"2018-05-26",602,"62.0929"
"2018-05-26",604,"0.993"
"2018-05-26",605,"109.3961"
"2018-05-26",606,"0.7498"
"2018-05-26",608,"7.8449"
"2018-05-28",600,"1"
"2018-05-28",601,"0.8565"
"2018-05-28",602,"62.0929"
"2018-05-28",604,"0.993"
"2018-05-28",605,"109.3961"
"2018-05-28",606,"0.7498"
"2018-05-28",608,"7.8449"
"2018-05-29",600,"1"
"2018-05-29",601,"0.8588"
"2018-05-29",602,"62.3768"
"2018-05-29",604,"0.9942"
"2018-05-29",605,"109.3525"
"2018-05-29",606,"0.7512"
"2018-05-29",608,"7.8456"
"2018-05-30",600,"1"
"2018-05-30",601,"0.8652"
"2018-05-30",602,"62.5955"
"2018-05-30",604,"0.9965"
"2018-05-30",605,"108.9116"
"2018-05-30",606,"0.754"
"2018-05-30",608,"7.8457"
"2018-05-31",600,"1"
"2018-05-31",601,"0.8597"
"2018-05-31",602,"62.228"
"2018-05-31",604,"0.9898"
"2018-05-31",605,"108.9752"
"2018-05-31",606,"0.7522"
"2018-05-31",608,"7.8463"
"2018-06-01",600,"1"
"2018-06-01",601,"0.8548"
"2018-06-01",602,"62.036"
"2018-06-01",604,"0.9852"
"2018-06-01",605,"108.8384"
"2018-06-01",606,"0.7495"
"2018-06-01",608,"7.8484"
"2018-06-02",600,"1"
"2018-06-02",601,"0.857"
"2018-06-02",602,"62.2137"
"2018-06-02",604,"0.9882"
"2018-06-02",605,"109.4695"
"2018-06-02",606,"0.7514"
"2018-06-02",608,"7.8453"
"2018-06-03",600,"1"
"2018-06-03",601,"0.857"
"2018-06-03",602,"62.2137"
"2018-06-03",604,"0.9882"
"2018-06-03",605,"109.4695"
"2018-06-03",606,"0.7514"
"2018-06-03",608,"7.8453"
"2018-06-04",600,"1"
"2018-06-04",601,"0.857"
"2018-06-04",602,"62.2137"
"2018-06-04",604,"0.9882"
"2018-06-04",605,"109.4695"
